Professor	Course	Rating	Comment
Aditya Akella	838	GOOD	Good
Aditya Akella	838	GOOD	Good.
Michael Coen	CS540	GOOD	Didn't have papers printed out on time for tests. Final grades submitted 2 weeks late. Great guy though. Very smart and hilarious, designs assignments and tests to measure understanding, not to trip students up. Extremely dedicated to making sure students learn, stays up late the night before assignments are due, willing to extend deadlines.
Michael Coen	CS540	AWESOME	Interesting prof. with crazy/cool stories. Lectures were interesting, exams even more so. He focuses on teaching the intuition rather than bludgeoning students with tedious equations and irrelevant debugging. He also taught the class using the functional language Scheme, which I felt was something really important for anyone interested in CS.
Michael Coen	CS540	AWESOME	He almost doubled the class capacity to get all students on the waitlist in, what a nice guy! Snarky but intelligent remarks on every single topic from mathematics to neuroscience, he just knows so much! Definitely wanna go to his office hour. Course materials are easy to understand.
Michael Coen	CS841	AWESOME	Prof. Coen is an engaging speaker with an impressive intellect and deep knowledge in a wide range of fields. You won't want to miss class or the opportunity to talk with him during office hours. Problem sets are unique and well-designed explorations into the fascinating topics covered in this interdisciplinary course.
Michael Coen	CS540	AWESOME	My favorite professor I've had and also the smartest man I've ever met. He knows everything there is to know about artificial intelligence- from financial AI  (he worked on wall street as a hedge fund quant) to using AI to translate a monkey language. Crazy man! Class was pretty relaxed- Homework was somewhat challenging, exams pretty easy.
Perry Kivolowitz	CS559	AWESOME	Excellent course from a professor with industry experience.  The material is challenging - be ready to devote serious amounts of time to the projects (30-50 hours per project minimum). Picking up the GLSL Cookbook is strongly recommended and will save you time and headaches.  Perry's stories this semester were really entertaining!
Perry Kivolowitz	CS559	AVERAGE	Don't take this class unless you have a lot of time on your hands and are really good at and ENJOY learning on your own. Almost no hand-holding so the internet and books will be your teacher. Projects will take many many hours so if you've got a busy schedule you will suffer.
Perry Kivolowitz	CS559	GOOD	Hardest class I've ever taken, but I've learned an incredible amount. The class is graded in a competitive manner, (where best projects get A's) but is curved within reason For example if someone makes Crysis, you don't necessarily fail for making a project a bit over what's spec'd. High time requirement, 30 hrs a week is not unusual to do well.
Perry Kivolowitz	CS559	AWESOME	Easily the best proffessor I've ever had. Hard as hell, the class will seriously give you nightmares, but definitely my favorite class ever.
Perry Kivolowitz	CS559	POOR	Class structure is poor and the material is difficult.  The project specs are open ended on the point total, those that do the best, get A's, the rest get something else.  Class depends on an unofficial lab. Projects are demoed and source code is reviewed.  Only one exam that you won't be able to finish in class. Perry speaks abstractly .Books help
Perry Kivolowitz	CS559	GOOD	Acts like a jerk sometimes but is really helpful if you're actually invested in the class. Not as much experience teaching graphics as other professors but more experience in industry, which is sometimes helpful. All in all pretty decent prof.
Perry Kivolowitz	CS559	AWESOME	Has some great experience in the his field that you don't find in a lot of professors.  He expects quite a bit of you, but also is there to help you whenever you need.  One of the better CS professors I've had.
Collin Engstrom	CS540	GOOD	Solid considering he just started teaching. He's the kind of teacher that's more than happy to walk through entire segments of Homework during class if enough people ask for help.   Easy A if you're good at programming.  Still very manageable even if you're not.
Collin Engstrom	CS540	AWESOME	Fantastic professor. The lectures are great and organized. He is always there to help.
Marvin Solomon	CS367	AWESOME	Awesome prof!  As for the class, there was no textbook, which was  a major plus.  The homework was tricky, the tests were confusing, and the programs weren't bad at all.
Marvin Solomon	CS567	AWESOME	great prof - SO clear. Course is well-designed. Knows what he's doing and can also explain it to others, a rare combination in CS.
Marvin Solomon	CS537	AWESOME	Best CS prof I've had so far. Teaches material well, engages attention fairly well, makes you laugh & keeps you interested, even when material gets boring.  Assignments are of reasonable length and instructional.  Tests quick but can throw you for a loop.
Karthikeyan Sankaralingam	CS252	AWESOME	I loved this course and Karu is a great instructor! He wrote his own (free!) textbook, and he wrote an application that lets you practice various skills needed for the course (ex. assembly language, tracing state machines). These resources were so helpful. It is clear that Prof. Sankaralingam is committed to teaching and he is plenty qualified.
Karthikeyan Sankaralingam	CS552	GOOD	Karu is a great instructor. He is passionate about the material and really knows what he's talking about. Projects are long and challenging, but grading is very straightforward. Homework is pretty easy and exams are fair. I recommend taking 552 in the spring with the CS department, as those who teach 552 in the ECE department are not that great.
Karthikeyan Sankaralingam	CS552	AWESOME	Karu is a great instructor for this course and has a lot of background knowledge on the topic (he does research with microprocessors). Lectures are easy to understand, but can be a bit boring in the first couple weeks if you already have Verilog experience. Exams are pretty easy, project is long but test scripts used for grading are given to you.
Karthikeyan Sankaralingam	ECE252	AVERAGE	Karu's a really funny guy, and a really passionate lecturer. Tests were very straightforward (averages around 100% for 3/4 tests). My only qualm with this class was the general inconsistency between the book and lectures/homeworks, although the book we used was brand new so this will probably be better in the future. Textbook simulators were great
Karthikeyan Sankaralingam	CS252	GOOD	Very excitable teacher. If you pay attention in class you will find success. I skipped class a number of times during the unit on Assembly language, and because of the poor quality of the textbook, there was difficulty in catching up. Textbook is generally decent (was made by a grad student, so it's not legit), but was very lacking for Assembly.
Karthikeyan Sankaralingam	252	AWESOME	Took Karu for 252 - he's op. Good class, good teacher, good grader.
Karthikeyan Sankaralingam	CS252	GOOD	By far the easiest class I took this semester. Professor Karu is a funny and slightly sarcastic guy. Homework is generally straight forward. Overall, I found CS252 to be an enjoyable experience.
Karthikeyan Sankaralingam	CS252	GOOD	Karu is a good professor. Knows the material and teaches it in a way that clicks. Class is very easy (approx. 50% students got an A). Programming background can help greatly in this course, but would not be required to succeed.
Karthikeyan Sankaralingam	CS252	AWFUL	He has heavy accent and  did not explain the problem clearly.
Karthikeyan Sankaralingam	CS552	AWESOME	One of the best professors I've had. The class is a lot of work, but as long as you put in the time, the grading is pretty lenient. If you are going to take this class, I'd highly recommend Karu.
Karthikeyan Sankaralingam	CS552	AWESOME	Don't take this class unless you're prepared to do a lot of work. If you need to take the class, Karu is a great professor, and is very helpful with course materials. Don't expect him to catch you up after skipping class or not paying attention though.
Karthikeyan Sankaralingam	CS252	AWFUL	
Karthikeyan Sankaralingam	CS252	AVERAGE	This professor teaches as though the entire class has had prior programming experience when it is clearly and introductory course. Although  the topics covered aren't that hard to grasp, it is still a pain having to keep up with someone who plows through the material without solid explanations. Not the greatest teacher, but manageable.
Karthikeyan Sankaralingam	CS552	GOOD	Great Prof for a difficult class. Makes some good jokes during class too. Responsive for email question on project. Highly recommend!
Michael Swift	CS739	GOOD	Grading is pretty tough.
Michael Swift	CS739	AWESOME	He tends to make you contrast various systems during exams... That's sort of his thing. This can be tough because it makes you transcend the lecture material and draw conclusions on your own. You'll also write lots of reviews on papers; on the upside class credit is a good chunk of your grade.
Michael Swift	CS537	AWESOME	Great professor and great lectures. I learned a lot during his class and it never seemed overwhelming.
Michael Swift	CS537	AWESOME	The biggest advantage of taking Operating Systems with Mike Swift is that he has 8 years of experience at Microsoft, and has a great deal of knowledge and stories to share. The assignments are difficult and your programs are tested very thoroughly. There is a decent amount of work, but you will learn a lot.
Michael Swift	CS537	GOOD	The class is average difficulty. Expect to spend time on the projects. The things tested for aren't covered explicitly, you have to use your brain and common sense to infer the answers, which isn't hard. His lectures go fast and can be hard to follow, but he's a friendly guy and jokes around.
Charles Dyer	CS540	GOOD	Class was extremely interesting and Chuck was obviously passionate about the subject. The class was a bit on the easy side, but it was still a 500-level CS course, so there was a decent amount of work to do. I'd recommend the class to any CS major.
Charles Dyer	CS540	POOR	I did not find his lectures very easy to follow. I took this in the summer, so it was even worse when he tried to cram everything in the end. I mostly skipped his lectures and made a complete note sheet containing much of his lecture slides. I found that he likes to re-use very old exam questions, and the tests are fair.
Charles Dyer	CS540	AWESOME	Chuck is a really nice guy and great professor. Clearly cares about the material and knows what he is talking about. He's the kind of guy that sits down on the floor with you as he is walking out for the day to help you with a problem. Great demeanor and always open to feedback and suggestions.
Charles Dyer	CS534	GOOD	"First half of the semester consists of individual homework assignments (programs), that I found to be difficult and time consuming. At the midpoint of the semester, there is the one and only exam in the course which is difficult, but you are allowed a ""cheat sheet"" and the curve was pretty generous. Last half you work in a group on a final project."
Charles Dyer	CS534	AWESOME	Lectures were clear and the topics were explained at a good level of detail. He explains the main intuition behind algorithms/concepts without too many distracting technical details but could elaborate later. Assignments were fun and interesting, and the final project allows you the freedom to do your own project.
Charles Dyer	CS534	AWESOME	Really cool professor. He didn't belabor the specifics of a lot of the content, but was always willing to explain more if people were curious. The assignments were some of the most enjoyable I've had at UW.
Charles Dyer	CS540	AWESOME	If you want to understand AI, Dyer is an amazing and fun professor. He provides engaging explanations for topics and class and linked me to resources to help brush up on my math. As with most coding classes, the projects can be tough and at the whim of the TAs; however, the problems and goals were always clear. Practice concepts for the exams!
Charles Dyer	540	GOOD	There's something wrong with the design of the class after the 1st exam. The class takes a nonsequitur route into material that's best primed by many other classes. like economics,statistics,psychology. Unloading all that info at once was not helpful; it just made me mad that I watched the knowledge go by wo being able to learn it properly
Charles Dyer	CS540	AWESOME	Really nice prof. Very helpful and you get to learn a lot!
Charles Dyer	CS540	AWESOME	CS 540 is a good class, and Chuck Dyer is a good professor. The class was quite hard for me, however I did have a high interest which is what helped a lot. Chuck can be a bit dry at times, but he's an extremely friendly and kind individual. Went to office hours and he was very helpful. I highly recommend, but be prepared to read and work a LOT!
Charles Dyer	CS534	AWESOME	Computational Photography is a really great class. Prof. Dyer is obviously really invested in the material and lectures are interesting. There's only one test, which is pretty hard, but you get a cheat sheet.
Charles Dyer	CS540	AWESOME	Very good professor. Very clear and easy to listen to. Knows his stuff! Homework is as hard as they say but is an excellent way to master the material. Among the best in his department.
Charles Dyer	CS540	GOOD	No Comments
Charles Dyer	CS540	GOOD	Homework take a lot of time, but you learn a lot from it. The notes he provides are incomplete. Some notes are in the book, others in powerpoint slides and some thing you need to know are only discussed in lecture so you have to go searching between a few different places to find what you're looking for. A pretty good prof.
Charles Dyer	CS540	GOOD	Very enthusiastic and helpful.  Exams tend to be tough (usually an extension of, rather than a regurgitation of presented material) and homework requires a lot of effort.  My advice is to take Calculus prior to this class.  There is a lot of math notation used which can be confusing to those who haven't had Calculus.
Drew Davidson	CS536	GOOD	Drew does an excellent job of explaining important concepts in his lectures. He does a great job of reading the room, and going into more detail on subjects that students are struggling with. I always had the opportunity to ask questions and have things explained if needed. Very good instructor, understands compilers well, and cares about students.
Drew Davidson	CS536	AWESOME	Drew was an amazing teacher. He put a ton of time into the class and explains things very well. He responds to Piazza usually in under 10 minutes if there are any questions.
Mark Hill	CS757	AWESOME	Mark is an extremely smart guy, yet is pretty good at conveying information to students. He has both industry and academia experience, leading to helpful stories to give good practical knowledge instead of purely theoretical. I personally found him very funny, and glad to have an expert in the field teach a critical class for Computer Architects
Mark Hill	COMPSCI252	AVERAGE	He is a pretty average teacher, and is alright at explaining things. I never once used the book, as the relevant information can be found in the lecture slides. The class was very easy IF you have a programming background. Be prepared to work harder if you have no prior knowledge of programming. Tests and homeworks were VERY easy.
Mark Hill	ECE252	AWESOME	Good professor. He's great at explaining concepts, and generally the lectures aren't too unbearable. Homework and tests are fair, and not too difficult.
Mark Hill	ECE252	AWESOME	Though the class moved a bit slowly at times, Hill's lectures were very engaging and clear.  He explained new concepts very throughly, and was easy to follow.  I never once had to crack open the textbook.
Mark Hill	CS354	GOOD	Fairly good professor, good grasp of material and good at explaining stuff. Online lecture notes are fairly comprehensive, but his hand writing isn't the greatest, so sometimes its hard to read what he's writing on the board.
Mark Hill	CS352	POOR	He was completely unprepared to teach programming topics.  His examples are often buggy, and he claims his lectures are &quot;only guidelines,&quot; urging students to learn the material on their own (in a class without a textbook!) He reads from notes not written by him, and messes up a lot.  His handwriting is terrible. Do NOT take him!
Mark Hill	ECE252	GOOD	A solid professor. He has a very clear voice. The class was pretty tough because the instruction wasn't always what was needed for the assignments. The book was confusing. I was lucky that my partner really knew what he was doing. Overall, it's a pretty good course and I was able to get an A.
Mark Hill	CS757	AWESOME	Despite being a world expert in his field, he isn't a stuffy research professor. Mark shows genuine care and enthusiasm for the university and its students. As some reviewers have mentioned, his handwriting is atrocious, but other than that he does a great job of presenting material in a clear and ordered fashion.
Mark Hill	ECE252	POOR	students with a background in programming should have no problem with this class or professor...students with little or no programming experience (like myself) will probably find the class very challenging...prof has awful handwriting and doesn't do a good job of teaching the material...MUST READ BOOK!
Mark Hill	ECE252	AWESOME	This class is all about learning how computers work at a low level, and then building up from there.  Homework was generally easy, and exams were pretty painless.  Pay attention in lecture:  material from lecture can show up on the exam.  He lectures pretty closely to the book most of the time, so if you can't read his writing well, bring the book.
Mark Hill	ECE252	GOOD	This class helped me understand the basics of computers. He knows his stuff, but makes occasional mistakes and is a horrible scribe on a board. Read the book, do the homework, listen in class, and you should do fine.
Mark Hill	CSECE354	AVERAGE	One of the most boring profs I've had -- I did the crossword every day.  Didn't teach concepts well, assignments terrible, grading inconsistent, programs long, tests extremely poorly written, book only somewhat informative.
Scott Swanson	CS367	AVERAGE	Seems to hold his classes as less of a priority than his day job, so assignments are not graded, not returned, etc.  Exams are very tough without adequate time to take them.  Lectures are unfocussed and are often only semi-related to the class.  But very knowledgable and interesting, and his lectures are entertaining.
Gurindar Sohi	CS252	GOOD	He goes over a ton of tedious examples by hand, which can be helpful if you are struggling with the material, but if you aren't then you will fall asleep. The exams are extremely similar to the exams from previous years that he provides you, so if you study those then you will do totally fine.
Gurindar Sohi	CS252	AVERAGE	He is a cool guy, but 252 is a bad class.  The programming assignments in LC-3 near the end of the semester are awful, and take tons of time, but you will still do poorly on them.  Lectures aren't entirely useful, as all of the slides are online
Gurindar Sohi	ECE252	POOR	Guri was a good teacher, but his online posts made me feel terrible. He was incredibly rude over online help sources like Piazza. He was condescending and the homework was illogical. The homework started easy, and then picked up to over 12 hours on one homework to still have the class average be a 40%.
Gurindar Sohi	CS252	GOOD	Professor Sohi is very passionate about what he teaches, but lectures are not always super helpful and the book is needed to clear things up sometimes. Make sure you study hard for tests and understand conceptually how to apply the things you've learned in class
Gurindar Sohi	ECE252	GOOD	Sohi is straight forward and to the point. No quizzes. He accounts exams for 70 percent and Homework as 30 percent. There was no final but rather a Midterm 4 about the last few chapters. Homework can get lengthy and complicated over the course of the semester, especially after learning LC-3 machine code. Class consists of him talking about slides.
Gurindar Sohi	ECE252	AWESOME	First half of class moves pretty slow, but hey, I understand binary and binary arithmetic super well. Pretty easy class with straight forward exams and Guri is really good about explaining any confusions you may have if you talk to him after class. I found the textbook really nice for reviewing before the exams as well.
Gurindar Sohi	ECE252	AWESOME	Excellent professor! He makes the dry topic bearable, even to those that don't seem to be interested. On top of it he was a stellar background in the field. The tests aren't super easy but are very doable for A range. The only bad thing about the class is that its only 2 credits with 3 cr worth of work. Still, highly recommend this professor!
Gurindar Sohi	ECE252	AWESOME	Excellent Professor. Topics can get extremely boring at times. Very fair class. Not too difficult.
Gurindar Sohi	ECE252	AWESOME	The best professor I had so far
Gurindar Sohi	ECE252	AWESOME	Harder than the reviews below made me think. I knew nothing about CS before this class. There are 4 exams. The 3rd was hard. Reviewing the old exams alone didn't prepare me for that one. I needed real understanding of the material. Be prepared to put a lot of work into the last few weeks of this class. It's a good class. It made me want to study CS
Gurindar Sohi	ECE252	AVERAGE	Really easy class, but expected to be bored as he goes really, really slowly reciting entire strings of binary. Probably, don't really need to attend class and should have an easy time with it.
Gurindar Sohi	ECE252	GOOD	He was alright, wasn't that helpful if you ask questions but overall his tests were really easy. Just study the old tests and you will be fine. He is pretty clear actually, don't get confused by his name. Getting an A in his class is not that hard.
Gurindar Sohi	ECE252	AVERAGE	Really boring.  Expect to fall asleep to the sound of Prof. Sohi reciting lines of binary code, one digit at a time.  However, he is extremely easy.  If you can't get an A in his class, you probably shouldn't be at Madison.
Gurindar Sohi	ECE252	AVERAGE	Nothing special.  You can get away with skipping lecture and just studying old versions of his midterms and you'll be just fine.
Gurindar Sohi	CS252	GOOD	If you do all the work this class is pretty easy. Top 7 of 8 homework assignments make up 30% of your grade, 4 midterms (no final) make up the other 70%. I only did half the h/w assignments, ended up with 76/100 points and got a B. On the course website he posts practice exams and you can find past ones from other professors, study these!!!
Laura Legault	CS301	GOOD	Hobbes' lectures were organized, thorough, and easy to code with. This, in turn, made the assignments and midterms fair. I had my reservations about computer science upon enrolling in this class, but the professor made it bearable. Take 301 if you have the chance.
Laura Legault	CS301	AVERAGE	"Hobbes was a great prof. The class was taught at a good speed and her explanations were very thorough. The homework assignments aren't too bad at all. However, I will say that the grading criteria is ambiguous.  Never knew where I stood in the class because only a single distribution was released after the first mid-term. The ""textbook"" is a joke."
Laura Legault	CS301	GOOD	She's not very helpful on Piazza, so attending lecture is a must if you want to excel.  However, if you do attend lecture, you'll be sure to ace the midterms and breeze through the homework assignments.  Overall decent professor, I recommend her if you need CS301.
Laura Legault	CS301	AWESOME	This class is a great introduction to programming and computer science. The topics are covered at a manageable pace and the lectures are clear. She is extremely accessible and provides a lot of resources to help you succeed in the class. Overall, she is a great professor and I would highly recommend her.
Laura Legault	CS301	AWESOME	Learned a lot, had a lot of fun. Hobbes is an outstanding teacher. Lectures were thorough and taught at a nice pace. Programming during class was really helpful. Weekly programs weren't bad at all and were fun to do. This was one of the first classes I've taken where I actually feel like I learned stuff that could apply outside of class. Awesome.
Laura Legault	CS301	AWESOME	"Hobbes is just amazing! She ""changed"" my major from sociology to computer science, while an instructor of 302 ""makes"" students quit CS. From 301 you will have a solid understanding of programming. I read the e-book she sent me to pick up some Java syntax over the winter break and took CS367 directly.  Eventually I got 95/100 in 367 (A is  88)."
Laura Legault	CS301	AWESOME	She teaches the material well and doesn't make the tests overly difficult. There are weekly programs that vary in difficulty, but most aren't bad. There are three tests and no final. Help is there if you need it, but you could go through the whole semester without going to class or tutoring and probably be fine.
Laura Legault	CS301	GOOD	I completed code academy's (google it) python course prior to taking 301 and the course was a breeze. Would definitely recommend doing that if you don't have coding experience. Weekly assignments that take 2 hours.  She runs a relaxed class, pace of lecture is fairly slow which is nice for learning. Recommend!
Laura Legault	CS301	AVERAGE	Prof. Hobbes is very good at teaching. Often help out student during her lab hours. However, the sample exam are not useful. The actual exam is much harder with way more questions  than the sample exam. The homework are sometimes very difficult and not related to the class materials.
Laura Legault	CS301	AVERAGE	Hobbes is an awesome teacher. However, weekly programs are sometime not related to lecture at all. You can skip all the lectures. Tests aren't bad either. My only complaint is that the grading seems ambiguous.
Laura Legault	CS301	AWESOME	Hobbes is an awesome teacher. Weekly programs are extremely easy and require only 1-2 hours of work. Tests aren't bad either. Her lectures are enjoyable; my only complaint is that she taught as if we were second graders - way  TOO thorough. I felt I had grasped the concepts long before she was done teaching them, but that's not the worst thing.
Laura Legault	CS302	AWESOME	She did a great job making the lectures fun and coming up with fun, useful programs. She encouraged students to look outside of the class scope to improve their skills. The class was dull at times but the content was clearly explained.
Laura Legault	CS301	AWESOME	"I have nothing to say about Hobbes' teaching ability. Fantastic teaching style and patient assistance after class or in the lab. BUT, let me put in this way, if next time you know that your exam is god-damn hard, plz dont put words like ""but questions are of comparable difficulty to the questions you will encounter on the exam."""
Laura Legault	CS301	AVERAGE	Watch out for her. She is nice overall but if you do something on accident that goes against CS rules she will burn you. Following rules are important but lets just say if you were holding onto a ledge for dear life, she would be the one to watch you and not lend a hand when you REALLY need it.  No empathy from her. Try to take another instructor.
Laura Legault	CS302	AWESOME	Excellent at teaching. Makes the class fun without compromising the content; you'll learn because she makes you want to. Would highly recommend taking any class you can with her.
Laura Legault	COMPSCI302	AWESOME	I absolutely loved 302. Hobbes (Prof. Legault) is an amazing instructor - I had no previous CS experience going into this class and I feel pretty comfortable coding basic programs in Java now. Her lectures are organized and she codes along with you in class, which I found to be really, really helpful. 302 is challenging but fun - take this class!
Laura Legault	CS302	AWESOME	Great instructor. I was worried I wouldn't be able to keep up with everyone else but she explains everything so well it was never a problem.
Laura Legault	CS302	AWESOME	Having Hobbes as a 302 professor was a delight. She explained everything we went through, and kept the dry topics interesting. Definitely a good professor choice to make if you're taking 302
Laura Legault	CS302	GOOD	Nerdy, fun, but gets off topic sometimes. Lectures move slowly. Definitely not an easy class for people who have no programming experience, but it can be done.
Laura Legault	302	AWESOME	I enjoyed lecture a lot. Bring your computer so you can program along with; it'll really help you get the concepts without having to go back later as much. She also seems like a very cool person to know. At one point someone in my lecture made a (bad) pun, and she apparently told her later lecture about it.
Loris D'Antoni	CS536	POOR	His teaching style doesn't help you learn the material at all. Slides basically summarized the online reading but were full of errors. If you want to see a funny guy, take his class. If you want a good teacher, avoid him.
Loris D'Antoni	CS536	AWESOME	Making sure that  concepts are understood is clearly a priority for him. Homework assignments and projects reinforce concepts, and tests are fair.
Loris D'Antoni	CS536	GOOD	Good professor - I only went to class a few times because the slides/online notes were very good. Pretty good amount of work, but not too conceptually difficult.
Loris D'Antoni	CS536	GOOD	I took a chance taking a class with Loris this semester, as he wasn't even listed on this site. Thankfully that turned out pretty well; he's far from a bad instructor, though he can be a bit blunt at times. The material is very theoretical at first, but not too confusing once you begin applying it. He's also pretty funny, so that's a plus.
Ambuj Shatdal	CS564	AVERAGE	He knows the stuff, but don't know how to explain it. He is getting better and useful office hours.
Ambuj Shatdal	CS564	AWFUL	Worst Professor I have ever had.
Ambuj Shatdal	CS564	AWFUL	Both of the instructor and TAs are irresponsible!! Terrible course. Terrible TAs.
Ambuj Shatdal	CS564	POOR	Ambuj is really a nice guy.  The only thing is that the projects in that class become real bad, real fast.  Also, while he's super sweet, he doesn't do the projects ahead of time and allows TAs not to take (test) the midterms (therefore he doesn't understand how hard/long they are) so he's not very helpful in office hours either.
Ambuj Shatdal	CS564	GOOD	The other reviews seem too harsh. Ambuj is a very nice guy, easy to approach and very responsive.  It's his first semester and even though the lectures are not perfect he did try his best. Database is not the most interesting subject in CS anyway, so don't criticize him on everything.
Ambuj Shatdal	CS564	AWFUL	Get the textbook, DO NOT DO NOT rely on the online free pdf. It has too many misprints and it decreases your motivation to read. Reading from the textbook taught me more about databases than this fake professor ever did
Ambuj Shatdal	CS564	AWFUL	Started out the semester with very unorganized power points, which he would just read from during lecture.  Then half way through he stopped using them and just lectured off the black boar and lectures became a jumble of random information.  It seems his motivation for teaching us went down with our ability to call him a legitimate professor.
Ambuj Shatdal	CS564	AWFUL	Do not take at all costs for trying to learn the material. Ready to drown myself solely because of this class. Exams have nothing to do with the material taught in class from the professor, homeworks aren't related either. I just want to escape this class with a C. Grading for the class is not at all clear either.
Ambuj Shatdal	CS564	AWFUL	The worst instructor I've ever had. Avoid him. He is not organized at all, including the lectures and slides. And the test has nothing similar to the previous ones; he will give you random questions as his random course materials.
Ambuj Shatdal	CS564	AWFUL	Ambuj is the easily worst professor I've had and I think the dept needs to reevaluate whether they want him to teach any class again. He bases his tests on what he thinks he teaches during lecture, so the book only helps minimally. The final tomorrow should be interesting. Never take a class with him; I can honestly say I haven't learned anything.
Ambuj Shatdal	CS564	AWFUL	Ambuj knows the materials, but is not very organized and doesn't know to teach. Not many people go to class.
Ambuj Shatdal	CS564	AWFUL	Ambuj is not a teacher at all.  It is extremely difficult to understand the content of what he is trying to teach.  The book helps a lot with understanding the material, but apparently the exams are based on his lecture only.  His lectures are a jumble of concepts and he doesn't use the blackboard correctly (he writes the bare minimum of stuff)
Ambuj Shatdal	CS564	AVERAGE	Ambuj is a wonderful and very kind.  He is very knowledgeable about the topic of databases, but he is a new professor and new to teaching, so i found it a bit difficult to adjust to his style.  He's a very smart guy,  just not the best at teaching the material, which unfortunately is the most important part.  Textbook saved me in this class. :)
Ambuj Shatdal	CS564	POOR	No doubt Ambuj knows the subject very well. He knows how to do the things he's trying to teach, but he's horrible at conveying his knowledge to his students through his teachings. Kind, laid back guy, but his teaching style is a little to laid back, so much so that you never really know what he expects students to know for exams.
Rahul Nayar	ECE252	AWFUL	Just don't.
Rahul Nayar	CS252	AWFUL	"Even if you figure out words he says, he doesn't explain HOW he does any of the things in class and just tells you to do them. ""Here's an example, please work on it."" (confused students' faces stare at board) ""Alright you seem confused, please work on another example."" Might as well skip and watch YouTube video on the content instead. Stay away."
Rahul Nayar	ECE252	AWFUL	He seems to have a misunderstanding of what teaching means... he doesn't do it... at all. He goes through many examples but doesn't describe them very well nor does he teach you how to do the content before doing the examples
Rahul Nayar	CS252	AWFUL	Hold his clip on mic instead of clipping it on. He just quizes you on the information before teaching it (half the class time)
Eftychios Sifakis	CS559	GOOD	Sifakis' Computer Graphics class was well-taught. He went with the goal of not having the class become very involved in math but also introduce major concepts in graphics. Prepare for learning how to code in JavaScript and using matrix libraries. The amount of examples he provides helped a lot for me in coding assignments which are highly weighted.
Eftychios Sifakis	CS559	AWESOME	I guess the difficulty of this course is caused by the course content instead of the professor. Computer graphic, with javascript can be quite intimidating, which makes it a 5 level course. Professor Sifakis actually is pretty nice. His lecture is more conceptual than practical, and really care about the student.
Eftychios Sifakis	CS559	AWESOME	Honestly I am struggling through this course, but the professor is just so insightful. His lecture is a pure enjoyment. He explains everything in the most intuitive way and is definitely capable of doing so. For example, he teaches us the math we need in a pragmatic way which avoids boring proofs and definitions. Tolerant about late homework too.
Eftychios Sifakis	CS559	AWFUL	"Grading rubric for class is: ""If you have everything 'OK', including hw and exam, you will get a B. If you did 'OK' on hw but get really good grades on the exam, then you will possibly get a higher letter grade. OK for the exam:  not clearly below the median OK for the programming assignment: get 3 for all of them"" And that is all the info you get."
Eftychios Sifakis	CS559	POOR	The organization of this class was beyond horrible. Constantly changing deadlines, assignment posts copied word for word from previous semesters without updating for our context, clarifications took days, we used a textbook that was half finished. On top of that, lecture was essentially useless. At least you get to make cool looking stuff
Eftychios Sifakis	CS559	POOR	Honestly he is a horrible professor. Nothing we do in class correlates to the homework and I have yet to walk out of class not frustrated that he didn't waste my time. I'm sure I'll do fine in the class but I was very excited to learn HTML and JavaScript and I have learned 0 this semester.
Eftychios Sifakis	CS412	GOOD	I thought the material in this class was pretty hard. Very math-y as CS goes. He's obviously very smart, and he's not too difficult to understand. There is no textbook so you have to rely very heavily on his notes. Tests are weighted heavily. Wouldn't recommend it if you didn't enjoy calc 3.
Ben Liblit	CS506	AVERAGE	The concepts taught in lecture are not taught early enough an in enough detail to adequately prepare students for the project. He expects a lot from students; this course is a lot of work, and grading is tough.
Ben Liblit	CS506	GOOD	This class is tough but is probably the most rewarding class I've taken as a CS major. The majority (63%) of your grade is your project grade. It is affected by the quality of your group's work, as well as a peer review scaling factor done by your group. The biggest downfall of this course is there was one TA for 77 people, and she wasn't the best.
Ben Liblit	CS638	AWESOME	Don't take this course (Software Engineering) with him for an A - check out past grade distributions if you don't believe me. But do take this for an extremely enjoyable and enthusiastic professor who cares about the material, teaches awesome material, and has set up an amazing semester-wide project experience.
Ben Liblit	CS638	AVERAGE	Liblit is a very enjoyable professor. Good teacher, cares about student's learning, interesting class. But the class suffers from serious flaws. Grading is absurd, homework is basically useless busy work.. The class could've been great but his quirks are also his pitfalls. LOVES BUGS
Ben Liblit	CS638	AWESOME	Pretty easy to listen to, throws in some nerd humor once in awhile. He kind of sounds like a Sesame Street character so that's kind of awesome. Although the majority of the grade is based on the project, there's a lot of writing involved for Specifications and stuff. Very helpful though when asking questions or for advice. Overall, he's solid.
Ben Liblit	CS367	AWESOME	Hands down best professor I've ever had. He's very clear, lectures are actually fun, and he's always willing to help. His use of real-world applications to the material we're learning is great too. I can't recommend Ben enough. Take as many classes as you can with him.
Paul Barford	CS640	GOOD	Very good lecturer. A lot of details are presented in this course, and he makes them all crystal clear, though it is difficult to keep track of them all. Quizzes/exams are difficult.
Paul Barford	CS640	AVERAGE	Super difficult quizzes and exams which focus on memorizing small details on subjects. Lectures were interesting for the most part, but a lot of information is presented in the lectures.
Paul Barford	CS640	AWESOME	Barford is very knowledgable in the material.  He takes difficult topics and makes them easy to understand.  He teaches them so clearly that I rarely relied on the book to reinforce the concepts.  He lectures on everything you need to know in the quizzes and exams, and he makes clear what to expect on them.
