_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_song,rtable_artists,rtable_year
261178,961295,258341,let it take you there,maximum joy,2008,let it roll,maximum roach,2003.0
263997,591181,236517,wishing i was lucky,wet wet wet,1987,wishing i was lucky,wet wet wet,2002.0
268797,639456,399207,it wasn't god who made honky tonk angels,kitty wells,1952,it wasnt god who made honky tonk angels,j.d. miller+kitty wells,2010.0
269635,165585,602162,luonas kai olla saan,juice leskinen,1994,luonas kai olla saa,juice leskinen+juice leskinen slam,1981.0
269636,721760,733300,cadillac solitario (live),loquillo y los trogloditas,0,cadillac solitario,sabino méndez+loquillo y trogloditas,1989.0
270894,877820,188694,i finally know,boyz ii men,2000,i know you know,steve franks+boys ii men,2006.0
272510,406542,427130,el vals del mono loco,maría josé hernández,0,vals del regreso,josé luis castiñeira de dios+susana lago,1985.0
272522,901440,259368,proud mary,tina turner,1988,proud mary,john fogerty+tina turner,1986.0
273539,949649,285868,the way you make me feel,michael jackson,1987,the way you make me feel,michael jackson+jls,2004.0
275043,263658,22290,caruso,lucio dalla,1986,caruso,lucio dalla,2007.0
275044,747178,706484,numb,u2,1993,numb,u2,1993.0
275584,283879,304652,honky tonk,new riders of the purple sage,0,honky tonk barstool,zach selwyn+zachariah+the lobos riders,2001.0
276165,959352,602188,someday (you'll be sorry),louis armstrong with the commanders,0,someday youll be sorry,louis armstrong,1979.0
276177,656230,731130,feuer frei,rammstein,2003,feuer frei!,rammstein,2008.0
276447,955631,313472,if i had a heart,fever ray,2008,if i had a heart,karin dreijer andersson+fever ray,2013.0
277071,944846,282465,pump it,black eyed peas,2005,pump it,nicholas roubanis+fergie+thomas van musser+will.i.am+apl.de.ap+the black eyed peas+dick dale,2012.0
280200,961181,114380,hey bartender,dan hicks and the hot licks,2004,hey beautiful,the solids,2005.0
280360,821397,109022,heroes theme,wendy & lisa (feat. shenkar),0,hiros theme,wendy melvoin+lisa coleman,2006.0
280363,215284,484162,jingle bells (album version),boney james,0,jingle bells,james pierpont,1945.0
280939,754254,225106,star trek: first contact- end title,jerry goldsmith,0,end title,joel goldsmith,1997.0
281673,215337,566281,dramatic story (1-12),charles williams,0,dramatic story,charles williams,1955.0
281703,842035,481405,you'll never tango,john powell,2009,youll never tango,john powell,2009.0
284230,957117,407329,what's new,frank ifield,0,new highway,frank tapp,1954.0
284343,798089,302279,love theme,the boston pops orchestra / john williams,0,love spreads,john squire+the stone roses,1964.0
284415,854307,302279,love spreads,the stone roses,1994,love spreads,john squire+the stone roses,1964.0
284467,827884,221548,closing theme,blue sky boys,0,spongebob squarepants closing theme,the blue hawaiians+bikini bottom band,1999.0
284479,883178,221548,closing theme,the salsoul orchestra,1994,spongebob squarepants closing theme,the blue hawaiians+bikini bottom band,1999.0
284768,177889,509967,you can't always get what you want,the rolling stones,1969,you cant always get what you want,mick jagger+keith richards+the rolling stones,1973.0
286238,873818,711614,dance of the reed-pipes,chicago symphony orchestra / sir georg solti,0,the legend of the house,james kenelm clarke+james clarke orchestra,1974.0
286515,957807,711614,valley of the shadows,bob james,1974,the legend of the house,james kenelm clarke+james clarke orchestra,1974.0
288154,935445,61778,the impossible,joe nichols,2002,the impossible dream,mitch leigh+lyrics by joe darion+mike burstyn,1978.0
288885,502256,627280,knut,the unwinding hours,2010,knut,craig b.+iain cook+the unwinding hours,2014.0
290222,774042,118325,wrap my words around you,daniel bedingfield,2004,wrap my words around you,daniel bedingfield+tats nkonzo,2002.0
290532,570892,149721,love,kele le roc,0,my love,kele le roc,1975.0
290771,722426,424636,don't cha,the pussycat dolls,2005,dont cha,sir mix a lot+ceelo green+busta rhymes+the pussycat dolls,2010.0
293162,95585,446278,blue jeans sur la plage,les hou-lops,2000,blue jeans sur la plage,claude dominique+louise rousseau+les hou-lops,2011.0
294044,836598,492233,he went to paris,jimmy buffett,1973,he went to paris,jimmy buffett+the coral reefer band,2009.0
295392,761434,605258,what if god fell from the sky,danielle brisebois,0,what if god fell from the sky,gregg alexander+danielle brisebois,2004.0
295826,952933,571313,falling in love again,marlene dietrich,1990,falling in love again,friedrich hollaender+marlene dietrich,2000.0
296711,956494,563076,the birds,the high dials,2003,the prodigal,sacha sacket+sacha sacket  from the album shadowed,2005.0
299218,542617,434416,the fun lovin' criminal,fun lovin' criminals,1996,the fun lovin criminal,fun lovin criminals,2001.0
300781,304778,33762,hymn for my father,collective soul,2009,hymn to my father,collective soul,2011.0
301623,961100,536200,the mindstraights,five fingers of funk,1995,the cutter,echo+the bunnymen+ian mcculloch   / will sergeant+les pattinson+pete defreitas+kind permission of warner/chappell music limited,2001.0
303045,836215,616408,the reason,hoobastank,2003,the reason,hoobastank,2007.0
303882,921943,692711,ain't that loving you baby,jimmy reed,1997,aint that lovin you baby,jimmy reed,1982.0
307633,770895,146903,cross my heart,everything but the girl,1986,cross my heart & hope to fly,the courteeners,2011.0
308978,912980,367933,body and soul,the benny goodman sextet,0,body & soul,benny goodman,2012.0
309576,284019,485518,puppy love,donny osmond,1972,puppy love,paul anka+donny osmond,2001.0
309661,594874,485518,love child,the rippingtons / eric marienthal / paul taylor,2000,puppy love,paul anka+donny osmond,2001.0
312391,454053,495500,all i want is you,barry louis polisar,1977,all i want is you,barry louis polisar,2007.0
315894,907484,657884,our lips are sealed (feat. jane wiedlin),the specials and fun boy three,0,our lips are sealed,terry hall+jane wiedlin+fun boy three,2015.0
316190,609984,447101,diosa del sur,fernando ubiergo,0,camino del sur,fernando garcía morcillo+josé maría elorrieta+m. remis+maruchy taylor+josé guardiola,1964.0
316608,469106,668968,i love the life i live,georgie fame & the blue flames,0,the love i lost,kenny gamble+leon huff+harold melvin+the blue notes  (as harold melvin+the blue notes)+arrangement with sony music licensing,1998.0
316847,922269,668968,the love i lost (part 1),harold melvin & the blue notes,0,the love i lost,kenny gamble+leon huff+harold melvin+the blue notes  (as harold melvin+the blue notes)+arrangement with sony music licensing,1998.0
318521,825112,4245,when i fall in love,victor young,0,when i fall in love,victor young+edward heyman+beverley mitchell+alice hirson,1996.0
320069,952441,120860,9 to 5,dolly parton,1980,9 to 5,dolly parton,2007.0
322635,850204,79541,alive and kicking (live),simple minds,1991,alive and kicking,jim kerr+charlie burchill+mick macneil+simple minds,2009.0
326925,949414,299892,you're the one that i want,john travolta / olivia newton-john,1978,youre the one that i want,john travolta+olivia newton-john,1964.0
327715,888278,255151,game set and match,the herbaliser,2008,the match game,the score production band,1962.0
328654,956494,397270,the birds,the high dials,2003,birds in the trees,the residents,2000.0
329062,279130,73309,hot fun in the summertime,sly & the family stone,1969,in the pines,dolly parton+the parton family,1976.0
329137,539037,73309,islands in the stream,kenny rogers & dolly parton,1990,in the pines,dolly parton+the parton family,1976.0
329633,800964,44608,one more murder (lp version),better than ezra,2005,one more murder,better than ezra,1998.0
331393,961500,175833,until you crack,the union underground,2000,you,the katherines,2013.0
332835,773794,123444,nova,amon tobin,1998,nova,amon tobin,2000.0
333518,570972,104139,the four seasons - spring - allegro,antonio vivaldi,1989,four seasons spring allegro,antonio vivaldi,2011.0
333523,881864,120063,she's lost control,the len price 3,0,control,the beatnigs,1999.0
333548,722722,127562,redemption day,sheryl crow,1996,this day,sheryl crow,2012.0
337337,235066,242935,don't worry,marty robbins,1961,dont worry,marty robbins,1965.0
337874,900761,313181,6/20 song,dan israel,0,waggamuffins song,dan schneider,2010.0
338274,885385,527328,brahms : string quartet no.1 in c minor op.51 no.1 : iv allegro,borodin string quartet,0,string quartet no.1 in a,alexander borodin+musopen string quartet,2016.0
339163,113039,219787,salvador sanchez (acoustic),sun kil moon,0,salvador sanchez,sun kil moon,2008.0
339469,14217,254222,cincinnati ohio,connie smith,0,cincinnati  ohio,bill anderson+connie smith,2008.0
339554,504504,210982,long time gone,everly brothers,0,gone gone gone,don everly+phil everly+the everly brothers,1964.0
340399,666925,665406,a whiter shade of pale,procol harum,1967,a whiter shade of pale,keith reid+gary brooker+matthew fisher+procol harum,2010.0
340491,791873,93091,let it snow! let it snow! let it snow!,vaughn monroe,1989,let it snow! let it snow! let it snow!,sammy cahn+jule styne+vaughn monroe,1994.0
340577,921699,210545,freight train,elizabeth cotten,1958,freight train,elizabeth cotten+dick+dee dee,1964.0
343015,590686,211671,i found love,barry white,1995,i love how you love me,barry mann+larry kolber+nino tempo+april stevens,1965.0
343652,417989,536696,love is the law,paul kelly,0,love to the limit,paul sabu+neil+only child,1992.0
344223,552234,460556,hard to see,five finger death punch,2009,hard to see,zoltan bathory+ivan l greening+thomas jason grinstead+jeremy spencer heyde+matt snell+kevin churko+five finger death punch,2010.0
344888,950758,171217,two people in the world,little anthony & the imperials,1958,in the shadows,lauri ylönen+eero heinonen+pauli rantasalmi+aki hakala  )+the rasmus,2006.0
344907,279130,171217,hot fun in the summertime,sly & the family stone,1969,in the shadows,lauri ylönen+eero heinonen+pauli rantasalmi+aki hakala  )+the rasmus,2006.0
345449,803263,3295,dazed and confused (live album version),led zeppelin,0,dazed and confused,jimmy page+led zeppelin,1979.0
345659,949302,77887,fools in love,inara george,2005,cant help falling in love,george david weiss+hugo peretti+luigi creatore+elvis presley,1994.0
347386,853178,246698,non je ne regrette rien (live À l'olympia 1962),edith piaf,0,non je ne regrette rien,charles dumont+lyrics by michel vaucaire+Édith piaf,2009.0
347431,583778,44222,bye bye blackbird,ray brown,0,bye bye blackbird,ray henderson+mort dixon,2001.0
351234,869782,362659,all alone am i,percy faith & his orchestra,0,i walk alone,mattias lindblom+anders wollbeck+harry sommerdahl+tarja turunen+mike terrana+bohuslav martinu philharmonic orchestra,2014.0
352422,279130,161136,hot fun in the summertime,sly & the family stone,1969,hot fun in the summertime,sly+the family stone,1969.0
354392,389315,685413,new theory,washed out,2009,new theory,washed out+arrangement with terrorbird media,2013.0
354493,644959,588237,i miss you babe,wighnomy brothers,2002,i miss you so,jimmy henderson+bertha scott+sid robin+the voltage brothers,1994.0
355791,752301,298257,i want to know what love is (lp version),foreigner,0,i want to know what love is,foreigner,2002.0
358433,563319,254343,a swingin safari,bert kaempfert and his orchestra,2003,a swingin safari (the theme of the match game),bert kaempfert,1962.0
359187,903953,493516,satin doll,the duke ellington orchestra / johnny hodges / benny carter / jimmy hamilton / paul gonsalves,1987,satin doll,duke ellington+billy strayhorn+johnny mercer+mel tormé,2009.0
359188,428023,451121,roadrunner,joan jett & the blackhearts,0,roadrunner,jonathan richman+joan jett+the blackhearts  (as joan jett+the blackhearts),2002.0
359376,754805,300675,gonna get along without you now (noel w. sanger remix),viola wills,0,gonna get along without you now,milton kellem+viola wills,1964.0
362299,900720,630399,downtown line,griffin house,2006,downtown groove,house of downtown,2001.0
362304,935960,363703,wedding waltz,jaco pastorius_ brian melvin,0,moon waltz,brian reitzell,2010.0
362319,197315,267576,at seventeen,janis ian,1975,at seventeen,janis ian,1989.0
362353,631109,576730,you're slightly terrific,tony martin,0,youre slightly terrific,lew pollack+tony martin,1936.0
363187,190257,484098,c. c. rider,warner williams and jay summerour,0,cloud rider,noah warner,2013.0
363571,928096,144398,morfina,mundo cão,2006,morfina,mundo cão,2010.0
367472,359321,429751,know your rights,the clash,1982,know your rights,joe strummer+mick jones+the clash,2005.0
368559,842989,711689,how does it feel,sugarcult,2000,how does it feel,sugarcult,2002.0
369837,281343,474941,hot child in the city (single version),nick gilder,0,hot child in the city,nick gilder+jimmy mcculloch,1987.0
370854,912892,529467,give me just a little more time,chairmen of the board,1970,give me just a little more time,ron dunbar+eddie holland+chairman of the board,2001.0
371030,702210,149498,love is all around (the mary tyler moor show theme),sonny curtis,0,love is all around,sonny curtis,1970.0
372246,808872,485385,brand new key - re-recording (by original artist),melanie,0,brand new key,melanie,2005.0
372369,959050,516151,travelling version,king tubby & friends,2003,travelling man,the bony king of nowhere,2011.0
372445,764382,47356,no excuses,alice in chains,1994,no excuses,alice in chains,2003.0
373156,494461,298987,birds of a feather (2002 digital remaster),joe south,2002,birds of a feather,joe south+johnny nash,1964.0
374520,182729,539793,the spider and the fly [featuring james cotton] (album version),kenny wayne shepherd,0,the spider and the fly,mick jagger+keith richards+kenny wayne shepherd+james cotton,1996.0
377804,718302,258993,after closing time,david houston,0,closing time,dan wilson+semisonic+leslie david baker+jenna fischer+ed helms,2005.0
378937,561802,643238,be a clown (finale from 'the pirate'),judy garland & gene kelly,0,be a clown,cole porter+gene kelly+judy garland,1976.0
380236,208951,1116,no longer umpire (lp version),alice cooper,1969,no longer umpire,alice cooper+glen buxton+michael bruce+dennis dunaway+neal smith,2005.0
380827,564209,248827,west coast u.s.a.,keith mansfield,0,west coast surf ride,keith mansfield,2006.0
381116,840236,555107,post modern sleaze,sneaker pimps,1997,post modern sleaze,the sneaker pimps,2002.0
382160,846051,455072,ballad of a thin man,bob dylan & the band,1965,ballad of a thin man,bob dylan,2008.0
382405,892395,443085,kill me,make the girl dance,0,kill me,greg kozo+pierre mathieu+make the girl dance,2013.0
382445,830914,99270,moonlight serenade,glenn miller orchestra,0,moonlight serenade,glenn miller+johnny desmond+his orchestra,1961.0
385222,325918,476427,horizon variations,max richter,2004,horizon variations,max richter,2011.0
386020,574154,616599,battle of evermore,jimmy page / robert plant,0,battle of evermore,jimmy page+robert plant+the lovemongers,1992.0
386443,749736,702296,sunshine of your love,jack bruce,1994,sunshine of your love,jack bruce+pete brown+eric clapton+cream,2003.0
388459,563319,255611,a swingin safari,bert kaempfert and his orchestra,2003,a swingin safari (the match game),bert kaempfert,1962.0
390315,712305,279893,new york_ new york (main theme),the boston pops orchestra / john williams,0,new york  new york,john kander+fred ebb+liza minnelli,2004.0
391081,764339,215809,to build a home,the cinematic orchestra,2007,to build a home,patrick watson+jason swinscoe+phil france+stella page+the cinematic orchestra,2008.0
392927,925684,452543,love machine (tony lamezma mix),girls aloud,0,love machine,girls aloud,2005.0
393312,959190,656614,total eclipse of the heart 2006,diva dj's vs nicki french,0,total eclipse of the heart,jim steinman+nicki french,2003.0
394001,843569,545633,big sky,peter buffett,1987,big show,peter neff+ed roscetti,2008.0
395329,222384,179755,train song,vashti bunyan,1966,train song,jennifer vashti bunyan+alasdair+vashti bunyan,2015.0
395432,827023,650257,crimson and clover,tommy james and the shondells,1969,crimson and clover,tommy james+peter p. lucia jr.+the shondells+arrangement with warner music group film+tv licensing,2009.0
395640,960960,401418,bad boy,john prine,1986,spy boy,john hiatt,1980.0
396067,961286,101167,piss on the youth,the briefs,0,on the run,the lost patrol,2007.0
396097,774679,101167,on the beach at waikiki,the king sisters,0,on the run,the lost patrol,2007.0
396276,786988,328503,it ain't easy being easy,janie fricke,1993,it aint easy being easy,janie fricke,1986.0
399383,781079,680388,tears (classic vocal),frankie knuckles presents satoshi tomiie,0,tears,frankie knuckles,1989.0
401630,922527,392,losing my religion [live in dublin],r.e.m.,0,losing my religion,r.e.m.,2007.0
403970,157010,696053,paxton quigley's had the course,chad & jeremy; arranged and conducted by chad stuart,1969,paxton quigleys had the course,chad stuart+jeremy clyde+chad+jeremy,1968.0
404180,517682,185360,supermodels,kendall payne,2000,supermodels,kendall payne,1999.0
404793,746055,43638,i heard it through the grapevine,michael mcdonald,0,i heard it through the grapevine,norman whitfield+barrett strong+michael mcdonald,2003.0
405411,182671,57936,dancin' fool,barry manilow,1980,dancin fool,barry manilow,2004.0
406443,668613,480927,the lonesome death of hattie carroll,bob dylan,1964,the lonesome death of hattie caroll,mason jennings+bob dylan,2007.0
407142,702210,149515,love is all around (the mary tyler moor show theme),sonny curtis,0,love is all around,sonny curtis,1970.0
407833,898468,135407,theme from 'rawhide',west end orchestra & singers,0,theme from hawaii five-o,morton stevens+the cbs orchestra,1993.0
407849,960516,135407,theme from stormy weekend,the mystic moods orchestra,0,theme from hawaii five-o,morton stevens+the cbs orchestra,1993.0
408540,888278,255028,game set and match,the herbaliser,2008,the match game,the score production band,1962.0
409403,924490,190833,dance_ dance,fall out boy,0,dance  dance,fall out boy,2015.0
412150,661840,519748,french song,franz bauer,0,excelsior song,franz liszt+paul nicholas,1975.0
413115,33099,472741,once upon a time in the west,ennio morricone,1986,once upon a time in the west,ennio morricone+orf radio-symphonieorchester wien,2012.0
413644,275058,227319,cosmic love,florence + the machine,2009,cosmic love,florence welch+isabella summers+florence+the machine,2004.0
414206,662601,374073,pintame,elvis crespo,0,pintame,elvis crespo+kind permission of sony/atv music publishing limited,2000.0
414220,563341,364203,amazing grace,john mcdermott,0,amazing grace,john newton,2007.0
415034,660217,1614,i like that,richard vission & static avanger starring luciana,0,i like that,richard humpty vission+static revenger starring luciana caporaso+dennis g. white+luciana caporaso+nicholas clow,2005.0
416419,607200,300035,teenage kicks (1st derry demos '78),the undertones,0,teenage kicks,john oneill+the undertones,1964.0
416675,412010,612450,everyday is a winding road,sheryl crow,1996,everyday is a winding road,sheryl crow+jeffrey trott+brian macleod,2000.0
418105,748284,144864,splitting the atom,massive attack,2009,splitting the atom,massive attack,2011.0
419112,139428,647678,doctor my eyes,jackson 5,1972,doctor my eyes,jackson browne+ben folds,2002.0
419414,798089,617813,love theme,the boston pops orchestra / john williams,0,tough love,john kekar+steve parrish+spank the blond,1994.0
419435,594874,617813,love child,the rippingtons / eric marienthal / paul taylor,2000,tough love,john kekar+steve parrish+spank the blond,1994.0
419444,275058,617813,cosmic love,florence + the machine,2009,tough love,john kekar+steve parrish+spank the blond,1994.0
419486,854307,617813,love spreads,the stone roses,1994,tough love,john kekar+steve parrish+spank the blond,1994.0
420792,45210,174720,deixa disso,felipe dylon,0,deixa disso,felipe dylon,2010.0
421016,181687,71767,amor particular,lluís llach,1984,amor particular,lluís llach+miquel abras+rozalén,2009.0
421698,588165,407531,mundo raro,enrique urquijo y los problemas,2001,un mundo raro,los diamantes,1989.0
423060,594874,106568,love child,the rippingtons / eric marienthal / paul taylor,2000,scoobidoo love,paul rothman,2000.0
423171,684008,50931,oh lonesome me,don gibson,1958,oh lonesome me,don gibson+chet atkins,1957.0
425722,873818,33634,dance of the reed-pipes,chicago symphony orchestra / sir georg solti,0,the sheik of araby,harry b. smith+francis wheeler+ted snyder+vince giordano+his nighthawks orchestra  (as vince giordano+the nighthawks),2010.0
426803,933746,297390,do you wanna dance,bobby freeman,1959,do you wanna dance,bobby freeman+cliff richard,1990.0
427078,620926,178058,freely,devendra banhart,2007,freely ,devendra banhart,2010.0
428019,792314,454032,beautiful,sean slaughter,0,beautiful,sean guerrero,2012.0
429062,886565,593571,memories of the grove,maylene and the sons of disaster,2007,revenge of the nerds,malcolm barrett+verbal the rapper,2011.0
429101,957945,593571,the wheels of love,the jet set,0,revenge of the nerds,malcolm barrett+verbal the rapper,2011.0
429309,949656,593571,music of the spheres,the receiving end of sirens,2007,revenge of the nerds,malcolm barrett+verbal the rapper,2011.0
429310,872858,593571,people of the sun,rage against the machine,1994,revenge of the nerds,malcolm barrett+verbal the rapper,2011.0
429347,955283,593571,children of the universe,ras michael and the sons of negus,0,revenge of the nerds,malcolm barrett+verbal the rapper,2011.0
429905,295585,379411,solo le pido a dios,león gieco,0,solo le pido a dios,león gieco,1983.0
431070,933149,295072,the nutcracker op.71-atto 1 - marche,pyotr il'yich tchaikovsky,0,the nutcracker - march,pyotr ilyich tchaikovsky,1990.0
431960,860541,433978,sixteen candles,the crests,1962,sweet sixteen,the deadly snakes+age of danger,2006.0
431975,600219,432818,ca plane pour moi,plastic bertrand,1992,ca plane pour moi,lou de prijck+yves lacomblez+plastic bertrand,2004.0
433537,955860,471582,rodeo boy,fred eaglesmith,0,my boy my boy,fred spielman+written for this movie but not sung; it may have been played in the score,1941.0
433563,889090,471582,toy boy,stuck in the sound,2006,my boy my boy,fred spielman+written for this movie but not sung; it may have been played in the score,1941.0
433608,624978,471582,my girl,the rolling stones,1967,my boy my boy,fred spielman+written for this movie but not sung; it may have been played in the score,1941.0
435137,927167,281448,please send me someone to love,clarence 'gatemouth' brown,0,send him to me,barbara brown,2009.0
435520,177889,40278,you can't always get what you want,the rolling stones,1969,you cant always get what you want,- mick jagger+keith richards+- the washington chorus,2007.0
435666,783771,457582,a crisis in mid life,the tangent,0,in real life,the ruby suns+ryan mcphun,2013.0
436364,124515,162249,voodoo people (pendulum mix),the prodigy,2006,voodoo people,the prodigy,2013.0
437015,900799,725118,stardust,hoagy carmichael,1927,stardust,hoagy carmichael+mitchell parish+glenn miller+arrangement with warner special products,1998.0
438779,557577,365681,breaking up is hard to do,neil sedaka,1962,breakin up is hard to do,neil sedaka+howard greenfield,1985.0
438978,721526,258682,favourite friend,diefenbach,2005,my favourite friend,diefenbach,2003.0
439074,143579,34159,mona lisa,grant lee phillips,2004,mona lisa,grant lee phillips,2005.0
439435,954633,547797,me and mrs jones,billy paul,0,me and mrs jones,kenny gamble    / cary gilbert   / leon huff+billy paul,2010.0
439563,801376,142047,ride captain ride [single version],blues image,0,ride captain ride,blues image,2004.0
439998,708216,35017,jump (for my love),the pointer sisters,1984,jump (for my love),the pointer sisters,2016.0
440036,26759,23319,guitar rag,sylvester weaver,1997,guitar rag,sylvester weaver+arrangement with sony music licensing,1994.0
441948,933149,676242,the nutcracker op.71-atto 1 - marche,pyotr il'yich tchaikovsky,0,the nutcracker,pyotr ilyich tchaikovsky,1990.0
442323,730682,676242,waltz of the flowers from  nutcracker,pyotr il'yich tchaikovsky,0,the nutcracker,pyotr ilyich tchaikovsky,1990.0
442340,760585,558858,fearless,the bravery,2004,fearless,sam endicott+the bravery,2004.0
443710,499281,47564,maniac,michael sembello,1983,maniac,michael sembello,2003.0
444111,948031,690973,the thénardier waltz of treachery,colm wilkinson / jennifer butt / leo burmester / robert billig / various artists,0,the tolstoy waltz,leo tolstoy+imogen cooper,2005.0
445762,693411,537818,don't get around much anymore,duke ellington,2000,dont get around much anymore,duke ellington+dick hyman,2004.0
445794,761943,25689,daydream believer (album version),john stewart,0,daydream believer,john stewart+the monkees,2009.0
446412,395909,103165,in spite of me,greg laswell,2009,in spite of me,greg laswell,2005.0
446561,700519,315888,dog shelter,burial,2007,dog shelter,burial,2006.0
447904,513286,557919,las mañanitas,lola beltrán,0,las mañanitas,lola beltrán+arrangement with warner music group film+tv licensing,2007.0
449255,332500,566786,fight the power (live),public enemy,2006,fight the power,public enemy,2015.0
451170,369574,567750,seison torilla 'le deserteur,kaisa korhonen,0,seison torilla (le deserteur),boris vian+kaisa korhonen,1966.0
451221,53657,387386,one world,celtic woman,2005,one world,celtic woman+chloë agnew+Órla fallon+lisa kelly  ),2005.0
451624,958270,182371,love is strange,mickey & sylvia,1957,love is strange,mickey baker+bo diddley+sylvia robinson+mickey+sylvia,2013.0
452808,198779,533839,white trash,marilyn manson,0,white trash,marilyn manson+the spooky kids,2009.0
454233,174819,509195,what is this thing called love?,cole porter,0,what is this thing called love?,cole porter+frank sinatra,2007.0
455315,395710,353795,Évasion de julien,miles davis,0,Évasion de julien,miles davis+barney wilen+emilhenco  (as rené urtreger+piano)+pierre michelot+kenny clarke,1958.0
455537,854268,553199,i'm so excited,the pointer sisters,1982,im so excited,anita pointer+june pointer+ruth pointer+trevor lawrence+the pointer sisters,1983.0
455739,610324,385157,fiesta de jerez,carmen amaya,0,fiesta de jerez,carmen amaya,2002.0
456060,917179,138816,as time goes by,dooley wilson,1990,as time goes by,herman hupfeld+dooley wilson,1983.0
456159,946015,616812,number one,john legend,2005,mark one,john dankworth+his orchestra,2010.0
458807,869486,551107,mystery train,junior parker,1989,mystery train,junior parker,1989.0
458992,958557,717165,main theme from total recall,orlando pops orchestra and andrew lane,0,main theme,the string section of london symphony orchestra,2001.0
458996,729842,717165,main theme from star wars,orlando pops orchestra and andrew lane,0,main theme,the string section of london symphony orchestra,2001.0
459009,798089,717165,love theme,the boston pops orchestra / john williams,0,main theme,the string section of london symphony orchestra,2001.0
459016,883178,717165,closing theme,the salsoul orchestra,1994,main theme,the string section of london symphony orchestra,2001.0
459030,862967,717165,main title,the boston pops orchestra / john williams,0,main theme,the string section of london symphony orchestra,2001.0
460399,679695,493833,lie to me,jonny lang,1997,lie to me,bruce mccabe+david zablidowsky+jonny lang,1999.0
461818,914062,692279,child's play,merl saunders,0,gun play,kevin saunders hayes+robert j. walsh,1997.0
462706,411629,17878,the imperial march,john williams,0,imperial march,john williams,2008.0
468185,714256,211220,shake and fingerpop,junior walker,1996,shake and fingerpop,junior walker+lawrence horn+willie woods+jackie deshannon+bobby sherman+delaney bramlett+joey cooper,1964.0
468282,917713,230891,mercedes benz - remix,janis joplin vs medicine head,0,mercedes benz,janis joplin+michael mcclure+bob neuwirth,1984.0
468914,54611,543704,mona lisa (digitally remastered),nat king cole,0,mona lisa,jay livingston+ray evans+nat king cole,1986.0
472333,886565,699494,memories of the grove,maylene and the sons of disaster,2007,memories of the grove,maylene+the sons of disaster,2007.0
472579,949656,699494,music of the spheres,the receiving end of sirens,2007,memories of the grove,maylene+the sons of disaster,2007.0
472617,955283,699494,children of the universe,ras michael and the sons of negus,0,memories of the grove,maylene+the sons of disaster,2007.0
472645,891330,508629,nos mains,jean-jacques goldman,1997,nos mains,jean-jacques goldman,2013.0
473013,385692,722662,the inch worm (digitally remastered),danny kaye,0,the inch worm,frank loesser+danny kaye,2014.0
473426,882408,162263,it's raining men,the weather girls,1982,its raining men,paul jabara+paul shaffer+the weather girls,2013.0
473790,953633,66677,À espera de godot,delfins,0,À espera de godot,delfins,2007.0
473850,88714,121320,main title,craig safan,1987,intervention main title,craig marks,2005.0
474009,926712,301265,don't stand so close to me,the police,1980,dont stand so close to me,the police,1964.0
481400,445023,413832,nights are forever without you (lp version),england dan & john ford coley,0,nights are forever without you,parker mcgee+dan seals+john ford coley+arrangement with warner strategic marketing,2003.0
482040,493604,472597,if i loved you (reprise),gordon macrae,0,if i loved you,richard rodgers+shirley jones+gordon macrae,2008.0
482376,276195,24900,cum on feel the noize,quiet riot,1983,cum on feel the noize,noddy holder+jim lea+quiet riot,1993.0
484268,226179,73183,thank god i'm a country boy,john denver,1974,thank god im a country girl/boy,john martin sommers+dolly parton+chuck woolery,1976.0
485351,731580,550080,and they all look broken hearted,four tet,2003,and they all look so broken hearted,kieran miles+david hebden+four tet,2007.0
488156,690514,459260,true,spandau ballet,1983,true,gary kemp+spandau ballet,2003.0
488422,542942,574020,la cucaracha,los del sol,0,la cucaracha,sol azteca,2016.0
488858,754254,224516,star trek: first contact- end title,jerry goldsmith,0,star trek: the next generation main title,jerry goldsmith+alexander courage,1987.0
491249,384359,426272,mi chica se ha ido a katmandu,los nikis,2005,mi chica se ha ido a katmandú,arturo pérez+los nikis,2005.0
493136,749385,4560,girls just want to have fun,cyndi lauper,1983,girls just want to have fun,robert hazard+cyndi lauper,2008.0
493345,369958,304544,la gavina,marina rossell,0,la gavina,frederic sirés.+marina rossell,2004.0
495228,43628,284963,the body of an american,the pogues,1986,body of an american,the pogues,2002.0
496406,696138,217635,reet petite,jackie wilson,1987,reet petite,berry gordy+billy davis+jackie wilson,2005.0
496929,951505,521346,hippy hippy shake,the swinging blue jeans,1963,shake it,the harpoonist+the axe murderer,2014.0
498565,819917,663728,undun,the guess who,0,undun,randy bachman+the guess who,2004.0
498606,755679,606716,nu flow,big brovaz,2002,nu flow,m. mugisha+temi tayo aisida+john paul horsley+big brovaz,2004.0
499385,517258,550753,i want you to keep everything,these united states,2009,i want you to keep everything,jesse elliott+these united states,2010.0
500174,828715,51389,coleen,the heavy,2008,coleen,the heavy,2008.0
501318,751741,336837,250 miles,radio moscow,2009,250 miles,parker griggs+radio moscow,2011.0
502336,763822,80705,conga,miami sound machine,1985,conga,miami sound machine,2006.0
502523,663504,659266,area codes,ludacris / nate dogg,2001,area codes,ludacris+nate dogg,2001.0
502941,678431,472865,amor sin medida,josé alfredo jimenez con mariachi vargas de tecalitlan,0,sin un amor,alfredo gil+chucho navarro+ben affleck+diego fuentes,2006.0
