_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_song,rtable_artists,rtable_year,gold
82546,955283,731565,"(((c)), ((h)), ((i)), ((l)), ((d)), ((r)), ((e)), ((n)), (( )), ((o)), ((f)), (( )), ((t)), ((h)), ((e)), (( )), ((u)), ((n)), ((i)), ((v)), ((e)), ((r)), ((s)), ((e)))","(((r)), ((a)), ((s)), (( )), ((m)), ((i)), ((c)), ((h)), ((a)), ((e)), ((l)), (( )), ((a)), ((n)), ((d)), (( )), ((t)), ((h)), ((e)), (( )), ((s)), ((o)), ((n)), ((s)), (( )), ((o)), ((f)), (( )), ((n)), ((e)), ((g)), ((u)), ((s)))",0,"(((p)), ((e)), ((o)), ((p)), ((l)), ((e)), (( )), ((o)), ((f)), (( )), ((t)), ((h)), ((e)), (( )), ((s)), ((u)), ((n)))","(((r)), ((a)), ((g)), ((e)), (( )), ((a)), ((g)), ((a)), ((i)), ((n)), ((s)), ((t)), (( )), ((t)), ((h)), ((e)), (( )), ((m)), ((a)), ((c)), ((h)), ((i)), ((n)), ((e)))",1999,0
82695,940419,196717,"(((p)), ((a)), ((n)), ((a)), ((m)), ((a)), (( )), ((()), ((l)), ((i)), ((v)), ((e)), (( )), ((v)), ((e)), ((r)), ((s)), ((i)), ((o)), ((n)), (())))","(((v)), ((a)), ((n)), (( )), ((h)), ((a)), ((l)), ((e)), ((n)))",0,"(((p)), ((a)), ((n)), ((a)), ((m)), ((a)))","(((v)), ((a)), ((n)), (( )), ((h)), ((a)), ((l)), ((e)), ((n)))",2013,1
83085,797053,201821,"(((y)), ((o)), ((u)), (( )), ((a)), ((r)), ((e)), (( )), ((t)), ((h)), ((e)), (( )), ((b)), ((e)), ((s)), ((t)), (( )), ((t)), ((h)), ((i)), ((n)), ((g)))","(((r)), ((a)), ((y)), (( )), ((l)), ((a)), ((m)), ((o)), ((n)), ((t)), ((a)), ((g)), ((n)), ((e)))",2008,"(((y)), ((o)), ((u)), (( )), ((a)), ((r)), ((e)), (( )), ((t)), ((h)), ((e)), (( )), ((b)), ((e)), ((s)), ((t)), (( )), ((t)), ((h)), ((i)), ((n)), ((g)))","(((r)), ((a)), ((y)), (( )), ((l)), ((a)), ((m)), ((o)), ((n)), ((t)), ((a)), ((g)), ((n)), ((e)))",1975,1
84135,887170,555436,"(((()), ((w)), ((h)), ((a)), ((t)), (( )), ((a)), (())), (( )), ((w)), ((o)), ((n)), ((d)), ((e)), ((r)), ((f)), ((u)), ((l)), (( )), ((w)), ((o)), ((r)), ((l)), ((d)))","(((d)), ((a)), ((v)), ((i)), ((d)), (( )), ((b)), ((r)), ((o)), ((m)), ((b)), ((e)), ((r)), ((g)))",1986,"(((w)), ((h)), ((a)), ((t)), (( )), ((a)), (( )), ((w)), ((o)), ((n)), ((d)), ((e)), ((r)), ((f)), ((u)), ((l)), (( )), ((w)), ((o)), ((r)), ((l)), ((d)))","(((b)), ((o)), ((b)), (( )), ((t)), ((h)), ((i)), ((e)), ((l)), ((e)), ((+)), ((g)), ((e)), ((o)), ((r)), ((g)), ((e)), (( )), ((d)), ((a)), ((v)), ((i)), ((d)), (( )), ((w)), ((e)), ((i)), ((s)), ((s)), ((+)), ((l)), ((o)), ((u)), ((i)), ((s)), (( )), ((a)), ((r)), ((m)), ((s)), ((t)), ((r)), ((o)), ((n)), ((g)))",2011,0
88808,449669,685983,"(((t)), ((h)), ((e)), (( )), ((m)), ((i)), ((l)), ((i)), ((t)), ((a)), ((r)), ((y)))","(((o)), ((r)), ((n)), ((e)), ((t)), ((t)), ((e)), (( )), ((c)), ((o)), ((l)), ((e)), ((m)), ((a)), ((n)), ((;)), ((l)), ((o)), ((n)), ((d)), ((o)), ((n)), (( )), ((s)), ((y)), ((m)), ((p)), ((h)), ((o)), ((n)), ((y)), (( )), ((o)), ((r)), ((c)), ((h)), ((e)), ((s)), ((t)), ((r)), ((a)))",1972,"(((t)), ((h)), ((e)), (( )), ((c)), ((h)), ((a)), ((s)), ((e)))","(((r)), ((o)), ((y)), (( )), ((b)), ((u)), ((d)), ((d)), ((+)), ((h)), ((i)), ((s)), (( )), ((o)), ((r)), ((c)), ((h)), ((e)), ((s)), ((t)), ((r)), ((a)))",1973,0
89113,797392,196208,"(((l)), ((a)), ((w)), ((l)), ((e)), ((s)), ((s)), (( )), ((a)), ((v)), ((e)), ((n)), ((u)), ((e)), ((s)), (( )), (( )), ((()), ((l)), ((p)), (( )), ((v)), ((e)), ((r)), ((s)), ((i)), ((o)), ((n)), (())))","(((j)), ((a)), ((c)), ((k)), ((s)), ((o)), ((n)), (( )), ((b)), ((r)), ((o)), ((w)), ((n)), ((e)))",1986,"(((l)), ((a)), ((w)), ((l)), ((e)), ((s)), ((s)), (( )), ((a)), ((v)), ((e)), ((n)), ((u)), ((e)), ((s)))","(((j)), ((a)), ((c)), ((k)), ((s)), ((o)), ((n)), (( )), ((b)), ((r)), ((o)), ((w)), ((n)), ((e)))",2016,1
91427,501693,567151,"(((m)), ((i)), ((s)), ((e)), ((r)), ((y)), (( )), ((l)), ((o)), ((v)), ((e)), ((s)), (( )), ((c)), ((o)), ((m)), ((p)), ((a)), ((n)), ((y)))","(((p)), ((o)), ((r)), ((t)), ((e)), ((r)), (( )), ((w)), ((a)), ((g)), ((o)), ((n)), ((e)), ((r)))",1962,"(((m)), ((i)), ((s)), ((e)), ((r)), ((y)), (( )), ((l)), ((o)), ((v)), ((e)), ((s)), (( )), ((c)), ((o)), ((m)), ((p)), ((a)), ((n)), ((y)))","(((j)), ((e)), ((r)), ((r)), ((y)), (( )), ((r)), ((e)), ((e)), ((d)), ((+)), ((p)), ((o)), ((r)), ((t)), ((e)), ((r)), (( )), ((w)), ((a)), ((g)), ((o)), ((n)), ((e)), ((r)))",2007,1
91431,887275,650688,"(((r)), ((h)), ((y)), ((m)), ((e)), (( )), ((f)), ((o)), ((r)), (( )), ((s)), ((u)), ((m)), ((m)), ((e)), ((r)), ((t)), ((i)), ((m)), ((e)))","(((g)), ((.)), (( )), ((l)), ((o)), ((v)), ((e)))",0,"(((s)), ((u)), ((m)), ((m)), ((e)), ((r)), ((t)), ((i)), ((m)), ((e)))","(((s)), ((e)), ((a)), ((n)), (( )), ((s)), ((t)), ((o)), ((l)), ((p)), ((e)), ((r)), ((+)), ((p)), ((a)), ((t)), ((r)), ((i)), ((c)), ((k)), (( )), ((m)), ((u)), ((l)), ((d)), ((o)), ((o)), ((n)), ((+)), ((n)), ((e)), ((i)), ((l)), (( )), ((g)), ((.)), (( )), ((i)), ((v)), ((e)), ((s)), ((+)), ((t)), ((h)), ((e)), (( )), ((s)), ((l)), ((e)), ((e)), ((p)), ((i)), ((n)), ((g)), (( )), ((m)), ((a)), ((s)), ((s)), ((e)), ((s)))",2007,0
92270,744224,641166,"(((l)), ((i)), ((t)), ((t)), ((l)), ((e)), (( )), ((b)), ((i)), ((t)), ((t)), ((y)), (( )), ((p)), ((r)), ((e)), ((t)), ((t)), ((y)), (( )), ((o)), ((n)), ((e)))","(((t)), ((h)), ((u)), ((r)), ((s)), ((t)), ((o)), ((n)), (( )), ((h)), ((a)), ((r)), ((r)), ((i)), ((s)))",1987,"(((l)), ((i)), ((t)), ((t)), ((l)), ((e)), (( )), ((b)), ((i)), ((t)), ((t)), ((y)), (( )), ((p)), ((r)), ((e)), ((t)), ((t)), ((y)), (( )), ((o)), ((n)), ((e)))","(((t)), ((h)), ((u)), ((r)), ((s)), ((t)), ((o)), ((n)), (( )), ((h)), ((a)), ((r)), ((r)), ((i)), ((s)), ((+)), ((b)), ((o)), ((b)), ((b)), ((y)), (( )), ((d)), ((a)), ((y)))",1997,1
92364,154845,417653,"(((m)), ((u)), ((r)), ((d)), ((e)), ((r)), (( )), ((o)), ((n)), (( )), ((t)), ((h)), ((e)), (( )), ((d)), ((a)), ((n)), ((c)), ((e)), ((f)), ((l)), ((o)), ((o)), ((r)))","(((s)), ((o)), ((p)), ((h)), ((i)), ((e)), (( )), ((e)), ((l)), ((l)), ((i)), ((s)), ((-)), ((b)), ((e)), ((x)), ((t)), ((o)), ((r)))",2000,"(((m)), ((u)), ((r)), ((d)), ((e)), ((r)), (( )), ((o)), ((n)), (( )), ((t)), ((h)), ((e)), (( )), ((d)), ((a)), ((n)), ((c)), ((e)), ((f)), ((l)), ((o)), ((o)), ((r)))","(((g)), ((r)), ((e)), ((g)), ((g)), (( )), ((a)), ((l)), ((e)), ((x)), ((a)), ((n)), ((d)), ((e)), ((r)), ((+)), ((s)), ((o)), ((p)), ((h)), ((i)), ((e)), (( )), ((e)), ((l)), ((l)), ((i)), ((s)), ((-)), ((b)), ((e)), ((x)), ((t)), ((o)), ((r)))",2004,1
93825,113090,671918,"(((i)), (( )), ((l)), ((i)), ((k)), ((e)), (( )), ((t)), ((o)), (( )), ((r)), ((u)), ((n)), (( )), ((i)), (( )), ((l)), ((i)), ((k)), ((e)), (( )), ((t)), ((o)), (( )), ((j)), ((u)), ((m)), ((p)))","(((d)), ((a)), ((v)), ((i)), ((d)), (( )), ((m)), ((e)), ((a)), ((d)))",0,"(((i)), ((f)), (( )), ((i)), (( )), ((r)), ((u)), ((n)))","(((d)), ((a)), ((v)), ((i)), ((d)), (( )), ((d)), ((e)), ((n)), ((n)), ((i)), ((s)), ((+)), ((t)), ((o)), ((n)), ((y)), (( )), ((a)), ((g)), ((u)), ((i)), ((a)), ((r)), ((+)), ((p)), ((h)), ((i)), ((l)), ((l)), ((i)), ((p)), (( )), ((m)), ((u)), ((n)), ((s)), ((e)), ((y)), (( )), ((i)), ((i)), ((+)), ((k)), ((u)), ((r)), ((t)), (( )), ((a)), ((l)), ((l)), ((e)), ((n)), ((+)), ((v)), ((o)), ((x)), ((h)), ((a)), ((u)), ((l)), (( )), ((b)), ((r)), ((o)), ((a)), ((d)), ((c)), ((a)), ((s)), ((t)))",2012,0
93974,678852,21909,"(((b)), ((a)), ((l)), ((l)), (( )), ((a)), ((n)), ((d)), (( )), ((c)), ((h)), ((a)), ((i)), ((n)))","(((j)), ((a)), ((n)), ((i)), ((s)), (( )), ((j)), ((o)), ((p)), ((l)), ((i)), ((n)))",1972,"(((b)), ((a)), ((l)), ((l)), (( )), ((a)), ((n)), ((d)), (( )), ((c)), ((h)), ((a)), ((i)), ((n)))","(((w)), ((i)), ((l)), ((l)), ((i)), ((e)), (( )), ((m)), ((a)), ((e)), (( )), ((t)), ((h)), ((o)), ((r)), ((n)), ((t)), ((o)), ((n)), ((+)), ((j)), ((a)), ((n)), ((i)), ((s)), (( )), ((j)), ((o)), ((p)), ((l)), ((i)), ((n)))",2007,1
94248,832232,442710,"(((y)), ((o)), ((u)), (( )), ((a)), ((i)), ((n)), ((')), ((t)), (( )), ((j)), ((u)), ((s)), ((t)), (( )), ((w)), ((h)), ((i)), ((s)), ((t)), ((l)), ((i)), ((n)), ((')), (( )), ((d)), ((i)), ((x)), ((i)), ((e)))","(((b)), ((e)), ((l)), ((l)), ((a)), ((m)), ((y)), (( )), ((b)), ((r)), ((o)), ((t)), ((h)), ((e)), ((r)), ((s)))",0,"(((y)), ((o)), ((u)), (( )), ((a)), ((i)), ((n)), ((t)), (( )), ((j)), ((u)), ((s)), ((t)), (( )), ((w)), ((h)), ((i)), ((s)), ((t)), ((l)), ((i)), ((n)), (( )), ((d)), ((i)), ((x)), ((i)), ((e)))","(((d)), ((a)), ((v)), ((i)), ((d)), (( )), ((b)), ((e)), ((l)), ((l)), ((a)), ((m)), ((y)), ((+)), ((b)), ((e)), ((l)), ((l)), ((a)), ((m)), ((y)), (( )), ((b)), ((r)), ((o)), ((t)), ((h)), ((e)), ((r)), ((s)))",1993,1
94810,211931,457503,"(((e)), ((l)), (( )), ((r)), ((e)), ((y)), (( )), ((y)), (( )), ((y)), ((o)))","(((l)), ((o)), ((s)), (( )), ((t)), ((r)), ((e)), ((s)))",2000,"(((e)), ((l)), (( )), ((r)), ((e)), ((y)), (( )), ((y)), (( )), ((y)), ((o)))","(((l)), ((o)), ((s)), (( )), ((a)), ((n)), ((g)), ((e)), ((l)), ((e)), ((s)), (( )), ((n)), ((e)), ((g)), ((r)), ((o)), ((s)))",2013,0
96068,476368,349877,"(((i)), (( )), ((w)), ((a)), ((n)), ((t)), (( )), ((t)), ((o)), (( )), ((t)), ((a)), ((k)), ((e)), (( )), ((y)), ((o)), ((u)), (( )), ((h)), ((i)), ((g)), ((h)), ((e)), ((r)))","(((s)), ((l)), ((y)), (( )), ((&)), (( )), ((t)), ((h)), ((e)), (( )), ((f)), ((a)), ((m)), ((i)), ((l)), ((y)), (( )), ((s)), ((t)), ((o)), ((n)), ((e)))",1969,"(((i)), (( )), ((w)), ((a)), ((n)), ((t)), (( )), ((t)), ((o)), (( )), ((t)), ((a)), ((k)), ((e)), (( )), ((y)), ((o)), ((u)), (( )), ((h)), ((i)), ((g)), ((h)), ((e)), ((r)))","(((s)), ((y)), ((l)), ((v)), ((a)), ((n)), ((u)), ((s)), ((+)), ((s)), ((l)), ((y)), (( )), ((s)), ((t)), ((o)), ((n)), ((e)))",1970,1
96513,10591,118304,"(((d)), ((a)), ((n)), ((c)), ((e)), (( )), ((w)), ((i)), ((t)), ((h)), (( )), ((m)), ((y)), (( )), ((f)), ((a)), ((t)), ((h)), ((e)), ((r)))","(((l)), ((u)), ((t)), ((h)), ((e)), ((r)), (( )), ((v)), ((a)), ((n)), ((d)), ((r)), ((o)), ((s)), ((s)))",2003,"(((d)), ((a)), ((n)), ((c)), ((e)), (( )), ((w)), ((i)), ((t)), ((h)), (( )), ((m)), ((y)), (( )), ((f)), ((a)), ((t)), ((h)), ((e)), ((r)))","(((l)), ((u)), ((t)), ((h)), ((e)), ((r)), (( )), ((v)), ((a)), ((n)), ((d)), ((r)), ((o)), ((s)), ((s)), ((+)), ((r)), ((i)), ((c)), ((h)), ((a)), ((r)), ((d)), (( )), ((m)), ((a)), ((r)), ((x)), ((+)), ((p)), ((u)), ((m)), ((e)), (( )), ((z)), ((o)), ((n)), ((d)), ((i)))",2002,1
97181,56996,505532,"(((u)), ((n)), ((c)), ((h)), ((a)), ((i)), ((n)), ((e)), ((d)), (( )), ((m)), ((e)), ((l)), ((o)), ((d)), ((y)), (( )), ((()), ((a)), (( )), ((c)), ((a)), ((p)), ((e)), ((l)), ((l)), ((a)), (( )), ((v)), ((e)), ((r)), ((s)), ((i)), ((o)), ((n)), (())))","(((t)), ((h)), ((e)), (( )), ((f)), ((l)), ((e)), ((e)), ((t)), ((w)), ((o)), ((o)), ((d)), ((s)))",1993,"(((u)), ((n)), ((c)), ((h)), ((a)), ((i)), ((n)), ((e)), ((d)), (( )), ((m)), ((e)), ((l)), ((o)), ((d)), ((y)))","(((a)), ((l)), ((e)), ((x)), (( )), ((n)), ((o)), ((r)), ((t)), ((h)), ((+)), ((l)), ((y)), ((r)), ((i)), ((c)), ((s)), (( )), ((b)), ((y)), (( )), ((h)), ((y)), (( )), ((z)), ((a)), ((r)), ((e)), ((t)), ((+)), ((t)), ((h)), ((e)), (( )), ((f)), ((l)), ((e)), ((e)), ((t)), ((w)), ((o)), ((o)), ((d)), ((s)))",2016,1
97981,398476,409052,"(((t)), ((h)), ((e)), (( )), ((l)), ((o)), ((v)), ((e)), (( )), ((y)), ((o)), ((u)), (( )), ((s)), ((a)), ((v)), ((e)), (( )), (([)), ((m)), ((a)), ((y)), (( )), ((b)), ((e)), (( )), ((y)), ((o)), ((u)), ((r)), (( )), ((o)), ((w)), ((n)), ((])), (( )), ((()), ((a)), ((l)), ((b)), ((u)), ((m)), (( )), ((v)), ((e)), ((r)), ((s)), ((i)), ((o)), ((n)), (())))","(((j)), ((o)), ((e)), (( )), ((t)), ((e)), ((x)))",0,"(((t)), ((h)), ((e)), (( )), ((l)), ((o)), ((v)), ((e)), (( )), ((y)), ((o)), ((u)), (( )), ((s)), ((a)), ((v)), ((e)), (( )), ((()), ((m)), ((a)), ((y)), (( )), ((b)), ((e)), (( )), ((y)), ((o)), ((u)), ((r)), (( )), ((o)), ((w)), ((n)), (())))","(((j)), ((o)), ((e)), (( )), ((t)), ((e)), ((x)))",2007,1
97997,565384,316174,"(((h)), ((a)), ((n)), ((d)), ((s)), (( )), ((p)), ((l)), ((a)), ((y)), ((i)), ((n)), ((g)), (( )), ((b)), ((u)), ((t)), ((t)), ((e)), ((f)), ((l)), ((y)))","(((e)), ((f)), ((t)), ((e)), ((r)), ((k)), ((l)), ((a)), ((n)), ((g)))",2007,"(((h)), ((a)), ((n)), ((d)), ((s)), (( )), ((p)), ((l)), ((a)), ((y)), ((i)), ((n)), ((g)), (( )), ((b)), ((u)), ((t)), ((t)), ((e)), ((r)), ((f)), ((l)), ((y)))","(((e)), ((f)), ((t)), ((e)), ((r)), ((k)), ((l)), ((a)), ((n)), ((g)))",2006,1
98568,278288,614427,"(((n)), ((o)), (( )), ((o)), ((n)), ((e)), (( )), ((h)), ((a)), ((s)), (( )), ((e)), ((v)), ((e)), ((r)), (( )), ((l)), ((o)), ((o)), ((k)), ((e)), ((d)), (( )), ((s)), ((o)), (( )), ((d)), ((e)), ((a)), ((d)))","(((t)), ((h)), ((e)), (( )), ((o)), ((r)), ((g)), ((a)), ((n)))",2002,"(((n)), ((o)), (( )), ((o)), ((n)), ((e)), (( )), ((h)), ((a)), ((s)), (( )), ((e)), ((v)), ((e)), ((r)), (( )), ((l)), ((o)), ((o)), ((k)), ((e)), ((d)), (( )), ((s)), ((o)), (( )), ((d)), ((e)), ((a)), ((d)))","(((k)), ((.)), (( )), ((r)), ((i)), ((t)), ((c)), ((h)), ((i)), ((e)), ((+)), ((s)), ((.)), ((s)), ((t)), ((o)), ((c)), ((k)), ((s)), ((+)), ((g)), ((.)), (( )), ((s)), ((m)), ((y)), ((t)), ((h)), ((+)), ((d)), ((.)), (( )), ((c)), ((o)), ((h)), ((e)), ((n)), ((+)), ((s)), ((.)), (( )), ((e)), ((f)), ((r)), ((o)), ((n)), ((+)), ((t)), ((h)), ((e)), (( )), ((o)), ((r)), ((g)), ((a)), ((n)))",2004,1
99085,520533,422905,"(((s)), ((t)), ((o)), ((o)), ((p)), ((i)), ((d)), (( )), ((a)), ((s)), ((s)))","(((g)), ((r)), ((a)), ((n)), ((d)), (( )), ((t)), ((h)), ((e)), ((f)), ((t)), (( )), ((a)), ((u)), ((d)), ((i)), ((o)))",2000,"(((s)), ((t)), ((o)), ((o)), ((p)), ((i)), ((d)), (( )), ((a)), ((s)), ((s)))","(((r)), ((a)), ((l)), ((p)), ((h)), (( )), ((j)), ((e)), ((z)), ((z)), ((a)), ((r)), ((d)), ((+)), ((j)), ((a)), ((m)), ((e)), ((s)), (( )), ((b)), ((u)), ((t)), ((l)), ((e)), ((r)), ((+)), ((r)), ((i)), ((c)), ((h)), ((a)), ((r)), ((d)), (( )), ((b)), ((a)), ((t)), ((t)), ((e)), ((r)), ((s)), ((b)), ((y)), ((+)), ((g)), ((r)), ((a)), ((n)), ((d)), (( )), ((t)), ((h)), ((e)), ((f)), ((t)), (( )), ((a)), ((u)), ((d)), ((i)), ((o)))",2000,1
99207,519280,709605,"(((s)), ((e)), ((c)), ((r)), ((e)), ((t)), (( )), ((g)), ((a)), ((r)), ((d)), ((e)), ((n)))","(((b)), ((r)), ((u)), ((c)), ((e)), (( )), ((s)), ((p)), ((r)), ((i)), ((n)), ((g)), ((s)), ((t)), ((e)), ((e)), ((n)))",1995,"(((s)), ((e)), ((c)), ((r)), ((e)), ((t)), (( )), ((g)), ((a)), ((r)), ((d)), ((e)), ((n)))","(((b)), ((r)), ((u)), ((c)), ((e)), (( )), ((s)), ((p)), ((r)), ((i)), ((n)), ((g)), ((s)), ((t)), ((e)), ((e)), ((n)))",2011,1
100561,401496,574322,"(((p)), ((e)), ((n)), ((n)), ((i)), ((e)), ((s)), (( )), ((f)), ((r)), ((o)), ((m)), (( )), ((h)), ((e)), ((a)), ((v)), ((e)), ((n)))","(((b)), ((i)), ((n)), ((g)), (( )), ((c)), ((r)), ((o)), ((s)), ((b)), ((y)))",1936,"(((p)), ((e)), ((n)), ((n)), ((i)), ((e)), ((s)), (( )), ((f)), ((r)), ((o)), ((m)), (( )), ((h)), ((e)), ((a)), ((v)), ((e)), ((n)))","(((a)), ((r)), ((t)), ((h)), ((u)), ((r)), (( )), ((j)), ((o)), ((h)), ((n)), ((s)), ((t)), ((o)), ((n)), ((+)), ((l)), ((y)), ((r)), ((i)), ((c)), ((s)), (( )), ((b)), ((y)), (( )), ((j)), ((o)), ((h)), ((n)), ((n)), ((y)), (( )), ((b)), ((u)), ((r)), ((k)), ((e)), ((+)), ((b)), ((i)), ((n)), ((g)), (( )), ((c)), ((r)), ((o)), ((s)), ((b)), ((y)))",1960,1
100919,557310,644258,"(((t)), ((h)), ((e)), (( )), ((b)), ((e)), ((s)), ((t)), (( )), ((o)), ((f)), (( )), ((t)), ((i)), ((m)), ((e)), ((s)))","(((j)), ((e)), ((r)), ((r)), ((y)), (( )), ((h)), ((e)), ((r)), ((m)), ((a)), ((n)))",1986,"(((t)), ((h)), ((e)), (( )), ((b)), ((e)), ((s)), ((t)), (( )), ((o)), ((f)), (( )), ((t)), ((i)), ((m)), ((e)), ((s)))","(((j)), ((e)), ((r)), ((r)), ((y)), (( )), ((h)), ((e)), ((r)), ((m)), ((a)), ((n)), ((+)), ((b)), ((e)), ((a)), (( )), ((a)), ((r)), ((t)), ((h)), ((u)), ((r)), ((+)), ((n)), ((e)), ((l)), ((l)), (( )), ((c)), ((a)), ((r)), ((t)), ((e)), ((r)), ((+)), ((s)), ((a)), ((n)), ((d)), ((y)), (( )), ((d)), ((u)), ((n)), ((c)), ((a)), ((n)), ((+)), ((k)), ((a)), ((r)), ((e)), ((n)), (( )), ((m)), ((o)), ((r)), ((r)), ((o)), ((w)), ((+)), ((j)), ((u)), ((l)), ((i)), ((e)), ((t)), (( )), ((p)), ((r)), ((o)), ((w)), ((s)), ((e)), ((+)), ((l)), ((e)), ((e)), (( )), ((r)), ((o)), ((y)), (( )), ((r)), ((e)), ((a)), ((m)), ((s)), ((+)), ((a)), ((n)), ((n)), (( )), ((r)), ((e)), ((i)), ((n)), ((k)), ((i)), ...)",1986,1
103125,893205,561,"(((s)), ((p)), ((e)), ((a)), ((k)), ((e)), ((a)), ((s)), ((y)))","(((s)), ((h)), ((e)), ((d)), (( )), ((s)), ((e)), ((v)), ((e)), ((n)))",1994,"(((s)), ((p)), ((e)), ((a)), ((k)), ((e)), ((a)), ((s)), ((y)), (( )), ((()), ((l)), ((i)), ((v)), ((e)), (())))","(((s)), ((h)), ((e)), ((d)), (( )), ((s)), ((e)), ((v)), ((e)), ((n)))",1990,1
103206,738304,492092,"(((i)), ((z)), ((a)), ((b)), ((e)), ((l)), ((l)), ((a)))","(((j)), ((i)), ((m)), ((i)), (( )), ((h)), ((e)), ((n)), ((d)), ((r)), ((i)), ((x)))",1971,"(((i)), ((z)), ((a)), ((b)), ((e)), ((l)), ((l)), ((a)))","(((j)), ((i)), ((m)), ((i)), (( )), ((h)), ((e)), ((n)), ((d)), ((r)), ((i)), ((x)))",2002,1
103941,797733,283960,"(((m)), ((a)), ((y)), ((b)), ((e)))","(((i)), ((n)), ((k)), (( )), ((s)), ((p)), ((o)), ((t)), ((s)))",0,"(((m)), ((a)), ((y)), ((b)), ((e)))","(((a)), ((l)), ((l)), ((a)), ((n)), (( )), ((f)), ((l)), ((y)), ((n)), ((n)), ((+)), ((f)), ((r)), ((a)), ((n)), ((k)), (( )), ((m)), ((a)), ((d)), ((d)), ((e)), ((n)), ((+)), ((t)), ((h)), ((e)), (( )), ((i)), ((n)), ((k)), (( )), ((s)), ((p)), ((o)), ((t)), ((s)))",2010,1
105252,948785,60692,"(((a)), ((l)), ((l)), ((e)), ((y)), (( )), ((f)), ((i)), ((g)), ((h)), ((t)))","(((j)), ((o)), ((h)), ((n)), (( )), ((d)), ((e)), ((b)), ((n)), ((e)), ((y)))",1999,"(((h)), ((a)), ((l)), ((l)), ((w)), ((a)), ((y)), (( )), ((f)), ((i)), ((g)), ((h)), ((t)))","(((j)), ((o)), ((h)), ((n)), (( )), ((p)), ((a)), ((e)), ((s)), ((a)), ((n)), ((o)))",2015,0
107524,870093,343504,"((($)), ((1)), ((0)), ((0)), (( )), ((d)), ((o)), ((l)), ((l)), ((a)), ((r)), (( )), ((b)), ((i)), ((l)), ((l)), (( )), ((y)), ((')), ((a)), ((l)), ((l)), (( )), ((()), ((e)), ((x)), ((p)), ((l)), ((i)), ((c)), ((i)), ((t)), (())))","(((i)), ((c)), ((e)), (( )), ((c)), ((u)), ((b)), ((e)))",0,"((($)), ((1)), ((0)), ((0)), (( )), ((b)), ((i)), ((l)), ((l)), (( )), ((y)), ((a)), ((l)), ((l)))","(((r)), ((o)), ((c)), ((k)), ((w)), ((i)), ((l)), ((d)), ((e)), ((r)), ((+)), ((i)), ((c)), ((e)), (( )), ((c)), ((u)), ((b)), ((e)))",2002,1
109556,958270,285217,"(((l)), ((o)), ((v)), ((e)), (( )), ((i)), ((s)), (( )), ((s)), ((t)), ((r)), ((a)), ((n)), ((g)), ((e)))","(((m)), ((i)), ((c)), ((k)), ((e)), ((y)), (( )), ((&)), (( )), ((s)), ((y)), ((l)), ((v)), ((i)), ((a)))",1957,"(((l)), ((o)), ((v)), ((e)), (( )), ((i)), ((s)), (( )), ((s)), ((t)), ((r)), ((a)), ((n)), ((g)), ((e)))","(((s)), ((y)), ((l)), ((v)), ((i)), ((a)), (( )), ((r)), ((o)), ((b)), ((i)), ((n)), ((s)), ((o)), ((n)), ((+)), ((m)), ((i)), ((c)), ((k)), ((e)), ((y)), (( )), ((b)), ((a)), ((k)), ((e)), ((r)), ((+)), ((m)), ((i)), ((c)), ((k)), ((e)), ((y)), ((+)), ((s)), ((y)), ((l)), ((v)), ((i)), ((a)))",2002,1
110552,852704,393938,"(((i)), (( )), ((d)), ((o)), ((n)), ((')), ((t)), (( )), ((k)), ((n)), ((o)), ((w)), (( )), ((w)), ((h)), ((y)))","(((s)), ((h)), ((a)), ((w)), ((n)), (( )), ((c)), ((o)), ((l)), ((v)), ((i)), ((n)))",1992,"(((i)), (( )), ((d)), ((o)), ((n)), ((t)), (( )), ((k)), ((n)), ((o)), ((w)), (( )), ((w)), ((h)), ((y)))","(((s)), ((h)), ((a)), ((w)), ((n)), (( )), ((c)), ((o)), ((l)), ((v)), ((i)), ((n)))",1995,1
110797,731338,356036,"(((h)), ((e)), ((r)), ((e)), (( )), ((c)), ((o)), ((m)), ((e)), ((s)), (( )), ((s)), ((a)), ((n)), ((t)), ((a)), (( )), ((c)), ((l)), ((a)), ((u)), ((s)))","(((g)), ((e)), ((n)), ((e)), (( )), ((a)), ((u)), ((t)), ((r)), ((y)))",1947,"(((h)), ((e)), ((r)), ((e)), (( )), ((c)), ((o)), ((m)), ((e)), ((s)), (( )), ((s)), ((a)), ((n)), ((t)), ((a)), (( )), ((c)), ((l)), ((a)), ((u)), ((s)))","(((g)), ((e)), ((n)), ((e)), (( )), ((a)), ((u)), ((t)), ((r)), ((y)), ((+)), ((o)), ((a)), ((k)), ((l)), ((e)), ((y)), (( )), ((h)), ((a)), ((l)), ((d)), ((e)), ((m)), ((a)), ((n)), ((+)), ((b)), ((i)), ((n)), ((g)), (( )), ((c)), ((r)), ((o)), ((s)), ((b)), ((y)))",2008,1
